"nomAlgo","k","dynamique","filePriorite","score","temps","nbVilles","contrainteAccessibilite"
"algorithmeApproximationNaif",100,false,false,1.000,1.041,2,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,1.000,0.402,2,"true"
"algorithmeFilePriorite",null,false,true,0.500,2.636,2,"true"
"algorithmeParSoustraction",null,true,true,0.500,0.766,2,"true"
"algorithmeParSoustraction",null,false,false,0.500,0.040,2,"true"
"algorithmeParSoustraction",null,true,false,0.500,0.036,2,"true"
"algorithmeApproximationNaif",100,false,false,0.667,0.179,3,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.667,0.226,3,"true"
"algorithmeFilePriorite",null,false,true,0.333,0.010,3,"true"
"algorithmeParSoustraction",null,true,true,0.333,0.039,3,"true"
"algorithmeParSoustraction",null,false,false,0.333,0.030,3,"true"
"algorithmeParSoustraction",null,true,false,0.333,0.028,3,"true"
"algorithmeApproximationNaif",100,false,false,0.750,0.220,4,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.750,0.404,4,"true"
"algorithmeFilePriorite",null,false,true,0.250,0.036,4,"true"
"algorithmeParSoustraction",null,true,true,0.250,0.089,4,"true"
"algorithmeParSoustraction",null,false,false,0.250,0.058,4,"true"
"algorithmeParSoustraction",null,true,false,0.250,0.077,4,"true"
"algorithmeApproximationNaif",100,false,false,0.400,0.288,5,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.400,0.373,5,"true"
"algorithmeFilePriorite",null,false,true,0.200,0.011,5,"true"
"algorithmeParSoustraction",null,true,true,0.200,0.069,5,"true"
"algorithmeParSoustraction",null,false,false,0.200,0.057,5,"true"
"algorithmeParSoustraction",null,true,false,0.200,0.060,5,"true"
"algorithmeApproximationNaif",100,false,false,0.667,0.147,6,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.833,0.369,6,"true"
"algorithmeFilePriorite",null,false,true,0.333,0.070,6,"true"
"algorithmeParSoustraction",null,true,true,0.333,0.083,6,"true"
"algorithmeParSoustraction",null,false,false,0.333,0.056,6,"true"
"algorithmeParSoustraction",null,true,false,0.333,0.062,6,"true"
"algorithmeApproximationNaif",100,false,false,0.571,0.213,7,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,1.000,0.306,7,"true"
"algorithmeFilePriorite",null,false,true,0.429,0.020,7,"true"
"algorithmeParSoustraction",null,true,true,0.571,0.191,7,"true"
"algorithmeParSoustraction",null,false,false,0.571,0.124,7,"true"
"algorithmeParSoustraction",null,true,false,0.571,0.141,7,"true"
"algorithmeApproximationNaif",100,false,false,0.625,0.113,8,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.875,0.184,8,"true"
"algorithmeFilePriorite",null,false,true,0.375,0.033,8,"true"
"algorithmeParSoustraction",null,true,true,0.375,0.078,8,"true"
"algorithmeParSoustraction",null,false,false,0.375,0.112,8,"true"
"algorithmeParSoustraction",null,true,false,0.375,0.097,8,"true"
"algorithmeApproximationNaif",100,false,false,0.556,0.084,9,"true"
"algorithmeApproximationUnPeuMoinsNaif",100,false,false,0.444,0.101,9,"true"
"algorithmeFilePriorite",null,false,true,0.222,0.046,9,"true"
